Date,Number_of_Transactions,Number_of_Coinbase_Transactions,Coinbase_Transactions_Output_Total,Number_of_Zero_Fee_Transactions,Total_Size_of_Transactions,Mean_Size_of_Transactions,Median_Size_of_Transactions,StdDev_Size_of_Transactions,Total_Weight_of_Transactions,Mean_Weight_of_Transactions,Median_Weight_of_Transactions,StdDev_Weight_of_Transactions,Total_Input_Count,Mean_Input_Count,Median_Input_Count,StdDev_Input_Count,Total_Output_Count,Mean_Output_Count,Median_Output_Count,StdDev_Output_Count,Total_Input_Total,Mean_Input_Total,Median_Input_Total,StdDev_Input_Total,Total_Output_Total,Mean_Output_Total,Median_Output_Total,StdDev_Output_Total,Total_Fees,Mean_Fees,Median_Fees,StdDev_Fees,Fee_per_KB
23/09/2019 00:00,288149,114,1.4572E+11,116,141774568,492.0182544,249,2161.32258,439968840,1526.879635,900,5845.472087,637206,2.211376753,1,11.44585886,790604,2.743733277,2,19.52743607,1.48507E+14,515384304.3,3858815,6948213580,1.4865E+14,515878840.1,3861767,6948213041,3219540269,11173.1787,4520,63729.32439,22708.87025
24/09/2019 00:00,353263,157,2.00096E+11,159,182675018,517.1077016,250,2493.661267,567132032,1605.410224,896,6561.938766,835094,2.363944144,1,12.69501123,901281,2.551303137,2,16.14218428,1.30446E+14,369261218.1,3450493,4672883763,1.30643E+14,369816753.2,3453626,4672912870,3846150022,10887.49748,4725,65243.79769,21054.60322
25/09/2019 00:00,347747,156,1.99282E+11,158,172294419,495.4591096,256,1960.227102,546681736,1572.06744,896,5537.490541,784045,2.254642024,1,10.35531376,884992,2.544930654,2,15.27110449,1.64521E+14,473105646.4,3742475,5932935079,1.64716E+14,473666398.9,3745396,5932947922,4282475804,12314.91804,5347,46985.95832,24855.56891
26/09/2019 00:00,355775,171,2.17014E+11,173,165981924,466.5362209,257,1933.291563,524485032,1474.204292,892,5865.570313,756882,2.127417609,1,10.85464305,882158,2.479539035,2,15.14384989,1.12793E+14,317034053.4,2489720,20410226913,1.13007E+14,317634854.5,2490266,20410235747,3264172934,9174.82379,3534,37609.51686,19665.83382
27/09/2019 00:00,303903,132,1.68426E+11,134,144584950,475.7601932,250,1941.776662,454024936,1493.979776,892,5515.336569,654331,2.153091611,1,10.62005901,789985,2.599464303,2,17.82439939,9.20774E+13,302983019.8,3452810,3470728028,9.22424E+13,303525956.2,3451466,3470778356,3426327785,11274.41251,4631,62602.9084,23697.67936
28/09/2019 00:00,314433,159,2.01066E+11,161,141057274,448.6083649,283,1890.010475,437041088,1389.933906,828,5348.809266,624304,1.985491345,1,10.08526614,778276,2.475172771,2,16.32631272,6.71399E+13,213526900.3,1506019,4732063697,6.73387E+13,214158990.4,1506288,4732119114,2316487157,7367.188422,2835,49921.13856,16422.31621
29/09/2019 00:00,285542,136,1.721E+11,139,122260202,428.1688928,257,1652.479828,380714604,1333.305097,824,4810.428484,539660,1.88994964,1,9.044824706,708073,2.47975079,2,16.37232685,6.04914E+13,211847516.5,1673535,2489507886,6.06614E+13,212442875.5,1674199.5,2489607856,2100156166,7354.981635,2597,57804.63787,17177.75802
30/09/2019 00:00,311396,130,1.66601E+11,132,149557515,480.280784,249,2331.250391,464947644,1493.10731,896,5963.656194,681735,2.189286311,1,12.7628975,793957,2.549669874,2,16.39592859,1.10584E+14,355123298.7,3974307,4187211287,1.10746E+14,355645142.3,3972659.5,4187244262,4101329030,13170.78264,7028,75587.4141,27423.0889
01/10/2019 00:00,337244,143,1.83576E+11,145,160157867,474.9020501,249,2183.412429,499958260,1482.482298,896,5981.812317,723795,2.146205715,1,11.28485989,836484,2.480352504,2,16.47581884,1.15695E+14,343060962.2,3379032.5,4181050326,1.15874E+14,343590993.9,3378478.5,4181087128,4826497357,14311.58851,8410,56234.05139,30135.87436
02/10/2019 00:00,326557,148,1.8872E+11,150,148870979,455.8805323,254,1970.127103,459230400,1406.279455,892,5338.946719,665102,2.036710283,1,10.65189506,801622,2.454768999,2,15.34331709,8.43664E+13,258351071.8,2624998,4500991481,8.45514E+13,258917588.5,2624821,4501038891,3720021491,11391.64523,6552,43741.34938,24988.22481
03/10/2019 00:00,326514,147,1.87538E+11,149,152587499,467.3229907,256,2119.986248,465560408,1425.85129,880,5955.738396,676796,2.072793203,1,10.58922767,800773,2.452492083,2,15.49792447,8.05679E+13,246751713.5,2515281,3246916066,8.07516E+13,247314476.5,2514255,3246982277,3788399226,11602.56291,6055,57257.89615,24827.71689
04/10/2019 00:00,337222,147,1.8653E+11,150,159766277,473.7718091,257,2900.555161,483935792,1435.065897,856,7066.829891,719133,2.13252101,1,16.31552511,842938,2.499653048,2,16.15892408,7.18548E+13,213078499.5,2094050.5,2396593195,7.20385E+13,213623392.8,2094326,2396688314,2780367596,8244.91758,3146,44649.20711,17402.71882
05/10/2019 00:00,326683,158,1.99415E+11,160,139894118,428.2258887,283,1900.40218,427874896,1309.755622,808,5121.64335,615241,1.883296651,1,10.35083518,799847,2.448388805,2,15.59902864,4.97852E+13,152395999.6,1450227,1382966902,4.99827E+13,153000561.2,1451640,1383176611,1914811395,5861.374467,1500,26031.94833,13687.57616
06/10/2019 00:00,277613,149,1.87899E+11,151,121129761,436.3259682,257,1886.901875,375781856,1353.617648,824,5370.731367,537714,1.936919381,1,10.47996571,686747,2.473756632,2,17.20177607,5.33723E+13,192254391.2,1780233,1676582171,5.35586E+13,192925289.2,1782921,1676757261,1649098962,5940.280037,1407,27118.06231,13614.31698
07/10/2019 00:00,328803,155,1.9622E+11,158,155887714,474.1067265,252,2012.723808,487545764,1482.789889,892,5964.252713,710580,2.161111669,1,11.1369575,816063,2.481920785,2,16.79879162,6.96196E+13,211736377.3,2724224,2824852599,6.98133E+13,212325635.9,2729856,2824940492,2470415950,7513.361952,1792,37822.56727,15847.40636
08/10/2019 00:00,336354,162,2.05266E+11,164,156559727,465.4611719,256,2073.774386,490965876,1459.670098,892,6162.786957,702267,2.087880626,1,10.87693694,822717,2.44598548,2,15.72356583,8.51259E+13,253084347.6,2556301,4841933777,8.53284E+13,253686391.8,2559843.5,4841980542,2765920023,8223.241059,2560,36686.51077,17666.86795
09/10/2019 00:00,311049,138,1.75537E+11,140,142458533,457.9938627,249,1983.277509,451694032,1452.163588,896,5938.036598,644846,2.073133172,1,10.73524282,770432,2.476883063,2,16.32330234,8.88384E+13,285609141.7,3290241,3110125245,8.90109E+13,286163716.7,3293474,3110185790,3036615188,9762.497832,4393,33992.95729,21315.78308
10/10/2019 00:00,345048,162,2.05847E+11,164,156836575,454.5355284,250,2075.080059,489336544,1418.169484,892,5581.204705,710229,2.058348404,1,11.16596118,837402,2.426914516,2,15.20951524,8.07318E+13,233972534.6,2720761.5,2562117364,8.09343E+13,234559409.5,2722841.5,2562208286,3346657648,9699.10751,4310,46716.09583,21338.5025
11/10/2019 00:00,345425,156,1.97783E+11,159,158650717,459.291357,256,2108.017432,496858492,1438.397603,892,5983.153662,716612,2.074580589,1,11.74453369,854555,2.473923428,2,15.90074841,7.46909E+13,216229093.2,2416200,2768668496,7.48859E+13,216793615.2,2418608,2768753231,2783013723,8056.781423,3153,42035.09357,17541.76581
12/10/2019 00:00,301693,133,1.68326E+11,135,129198509,428.2449676,273,1630.902891,404070636,1339.343757,832,4821.745928,566036,1.876198652,1,8.582700621,736768,2.442111683,2,16.03746945,4.7542E+13,157584076.1,1653994,1639663232,4.77083E+13,158135133,1654880,1639823413,2076242438,6881.970871,2430,35829.98557,16070.17336
13/10/2019 00:00,279487,142,1.79118E+11,144,116025701,415.1380959,283,1453.257808,362829776,1298.199115,808,4632.215336,504738,1.805944463,1,7.746790522,681827,2.439566062,2,16.66673506,4.20165E+13,150334436.7,1437542,2006780184,4.2194E+13,150969528.8,1438645,2006932597,1618085575,5789.484216,1434,45252.03534,13945.92371
14/10/2019 00:00,304466,135,1.71132E+11,137,143003933,469.6876926,249,2162.158149,449154992,1475.222166,892,6579.114548,651764,2.140679091,1,11.89136213,754078,2.476723181,2,17.18271957,8.19522E+13,269166972.5,2668743.5,28289035720,8.21209E+13,269721221.6,2672916,28289039865,2382030921,7823.63522,2724,49023.76756,16657.10076
15/10/2019 00:00,339698,153,1.93839E+11,155,152367247,448.5373685,256,1806.126137,480156336,1413.48002,892,5703.091803,683568,2.012281497,1,9.682135364,826165,2.432057298,2,15.05150117,7.44716E+13,219228908.4,2500000,2316575950,7.46629E+13,219791908.5,2501424.5,2316676445,2589458072,7622.824014,3004,36143.41325,16994.84714
16/10/2019 00:00,338473,143,1.81664E+11,146,159685372,471.7817138,256,2340.51491,492549412,1455.210348,892,6278.535266,709395,2.095868799,1,11.677249,832345,2.459117862,2,15.58376495,1.04288E+14,308111799.1,2704914,3459425376,1.04466E+14,308639906.2,2707729,3459475009,2913647841,8608.213479,3172,59218.77102,18246.17875
17/10/2019 00:00,334105,150,1.9004E+11,152,164777249,493.1900121,256,2006.976028,498000644,1490.551306,892,5402.447841,758055,2.268912468,1,10.84355687,817777,2.447664656,2,15.42861607,1.01971E+14,305207719.3,2528184,21147854039,1.02159E+14,305768920.2,2531414,21147862312,2540381954,7603.543658,2988,41868.24359,15417.0674
18/10/2019 00:00,339390,160,2.02494E+11,162,150764406,444.2217095,257,1842.702707,472146280,1391.161437,864,5537.249532,674168,1.986410914,1,10.22304617,830039,2.445679012,2,15.09253894,1.01962E+14,300426716.8,2179539,4083880480,1.02162E+14,301016009.3,2182067,4083926547,2494346328,7349.498595,3004,29773.80976,16544.66325
19/10/2019 00:00,304736,142,1.79331E+11,144,137578861,451.4690125,259,2127.644428,434002920,1424.193138,828,7141.447253,596207,1.956470519,1,10.23012694,770374,2.528004568,2,16.65050486,8.45377E+13,277412799.8,1739609,4142534494,8.47152E+13,277995271.2,1741114,4142582002,1830723571,6007.572361,2277,31270.63976,13306.72138
20/10/2019 00:00,289796,146,1.84084E+11,148,123401209,425.8209534,257,1694.921402,385232268,1329.32224,808,5221.039838,546499,1.885805877,1,9.20727783,706798,2.438950158,2,16.10575112,7.47829E+13,258053664.3,1610075.5,3386323748,7.49654E+13,258683417.7,1611628,3386391059,1584344804,5467.10377,1433,29735.72823,12838.97311
21/10/2019 00:00,351791,159,2.00813E+11,161,160432654,456.0453622,257,1814.169865,509882840,1449.391372,892,5605.275162,726751,2.065860127,1,9.811036034,863472,2.454502816,2,15.45557769,8.96836E+13,254934350.5,2243681,4741503183,8.98824E+13,255499316.6,2248191,4741547112,2063255238,5865.002908,883,37231.10518,12860.56913
22/10/2019 00:00,341464,169,2.13472E+11,173,162069536,474.6313989,256,2251.442881,512592408,1501.160907,892,6756.949086,746320,2.185647682,1,12.99651402,849041,2.486472952,2,15.573228,1.13921E+14,333626010.8,2244464,7003943957,1.14133E+14,334244670.5,2248548.5,7003968321,2221592037,6506.079812,1344,52668.86031,13707.6473
23/10/2019 00:00,349320,168,2.13107E+11,170,164359204,470.511863,256,2142.042697,519202972,1486.32478,892,6337.269054,755851,2.163778198,1,12.22543399,858334,2.457156762,2,14.82707866,1.33243E+14,381434082.4,2359596.5,7585096914,1.33453E+14,382035250.3,2362896.5,7585112016,3107041069,8894.54102,2604,67001.83026,18903.96761
24/10/2019 00:00,303843,133,1.69146E+11,135,145154911,477.7299823,249,1953.036781,457821988,1506.77155,892,5914.777026,664605,2.187330299,1,10.85939455,752456,2.476463173,2,15.88548215,9.99105E+13,328822637,3614504,5292717152,1.00077E+14,329369794.6,3618865,5292746443,2895992490,9531.213456,3749,52129.05186,19951.04726
25/10/2019 00:00,328598,138,1.76109E+11,140,164236202,499.8088911,249,2178.745891,520979996,1585.463076,896,6746.734229,766655,2.333109149,1,12.25159602,812280,2.471956616,2,14.47782197,1.34724E+14,409995020.7,4125443.5,7677694432,1.34896E+14,410519978.3,4128556.5,7677706320,3608670023,10982.02065,4620,68819.55416,21972.43957
26/10/2019 00:00,305722,140,1.79786E+11,142,171491683,560.9399487,249,2643.555893,536734112,1755.628028,896,7456.12725,797523,2.608654268,1,13.56233559,753094,2.46332943,2,16.23869387,1.00306E+14,328095497.2,3776097.5,21489807427,1.00481E+14,328667912.7,3778429.5,21489815074,4785635330,15653.55234,6356,87727.26833,27905.9325
27/10/2019 00:00,256253,115,1.47147E+11,117,126758637,494.6620605,249,2039.564578,409981180,1599.907825,892,6844.762332,595354,2.323305483,1,11.93675256,639412,2.495237129,2,16.59541038,6.82563E+13,266362949.8,2684900,2441680871,6.84001E+13,266923918.8,2683720,2441764173,3397050101,13256.62568,6585,68802.05706,26799.35807
28/10/2019 00:00,309611,134,1.71298E+11,136,160920997,519.7521955,249,2414.032906,507408572,1638.858348,896,7127.572638,742640,2.398622788,1,12.63716322,762730,2.463510663,2,15.55798543,1.94244E+14,627380419.3,3093211,25790651959,1.94411E+14,627921420.7,3092837,25790649780,3798415405,12268.34772,5526,64833.07594,23604.2249
29/10/2019 00:00,307953,133,1.69797E+11,135,154169311,500.6261053,249,2512.843466,481570592,1563.779512,896,6838.588267,701973,2.27948096,1,12.44592606,752884,2.444801642,2,14.85237878,1.50011E+14,487122518.9,3118673,10450018878,1.50177E+14,487662374,3120271,10450024198,3547022733,11518.0652,5250,63359.61701,23007.32039
